t,e_max
0.311184,0.00129277
0.31121,0.00129272
0.311235,0.00129267
0.311261,0.00129261
0.311286,0.00129256
0.311312,0.00129251
0.311338,0.00129245
0.311363,0.0012924
0.311389,0.00129235
0.311415,0.00129229
0.31144,0.00129224
0.311466,0.00129219
0.311491,0.00129213
0.311517,0.00129208
0.311543,0.00129203
0.311568,0.00129197
0.311594,0.00129192
0.311619,0.00129187
0.311645,0.00129181
0.311671,0.00129176
0.311696,0.00129171
0.311722,0.00129165
0.311748,0.0012916
0.311773,0.00129155
0.311799,0.0012915
0.311824,0.00129144
0.31185,0.00129139
0.311876,0.00129134
0.311901,0.00129128
0.311927,0.00129123
0.311952,0.00129118
0.311978,0.00129112
0.312004,0.00129107
0.312029,0.00129102
0.312055,0.00129096
0.312081,0.00129091
0.312106,0.00129086
0.312132,0.0012908
0.312157,0.00129075
0.312183,0.0012907
0.312209,0.00129064
0.312234,0.00129059
0.31226,0.00129054
0.312285,0.00129049
0.312311,0.00129043
0.312337,0.00129038
0.312362,0.00129033
0.312388,0.00129027
0.312414,0.00129022
0.312439,0.00129017
0.312465,0.00129011
0.31249,0.00129006
0.312516,0.00129001
0.312542,0.00128996
0.312567,0.0012899
0.312593,0.00128985
0.312618,0.0012898
